slug;name;letter;category;teaser;body;example;synonyms;related;source
kosten-nutzen-abwaegung;Kosten-Nutzen-Abwägung;K;Management & Strategie;Systematisches Abwägen der Setup-, Betriebs- und Iterationskosten gegen den erwarteten Nutzen, um über den Einsatz einer Lösung zu entscheiden.;Systematisches Abwägen der Setup-, Betriebs- und Iterationskosten gegen den erwarteten Nutzen, um über den Einsatz einer Lösung zu entscheiden.;Ein Mittelständler vergleicht die einmaligen Setup- und laufenden API-Kosten einer KI-Dokumentenprüfung mit der eingesparten Bearbeitungszeit und entscheidet sich gegen eine teurere KI zugunsten einer einfachen RPA-Regel.;"[""Kosten-Nutzen-Analyse"",""Cost-Benefit-Analyse"",""Cost-Benefit Analysis""]";"[""kosten-nutzen-verhaeltnis"",""roi-return-on-investment"",""rpa-robotic-process-automation"",""aufwand-nutzen-verhaeltnis"",""opportunitaets-und-versteckte-kosten""]";
kosten-nutzen-verhaeltnis;Kosten-Nutzen-Verhältnis;K;Management & Strategie;Erstes Auswahlkriterium, das die Gesamtkosten über mehrere Jahre dem messbaren Nutzen einer Lösung gegenüberstellt.;Erstes Auswahlkriterium, das die Gesamtkosten über mehrere Jahre dem messbaren Nutzen einer Lösung gegenüberstellt.;Vor der Toolauswahl rechnet ein Team die Gesamtkosten eines KI-Chatbots über drei Jahre hoch und stellt sie den eingesparten Servicestunden gegenüber.;"[""Cost-Benefit-Ratio"",""Kosten-Nutzen-Relation"",""Aufwand-Nutzen-Verhältnis""]";"[""kosten-nutzen-abwaegung"",""roi-return-on-investment"",""opportunitaets-und-versteckte-kosten"",""lizenzmodell-skalierbarkeit-kriterium"",""amortisationszeitraum""]";
kpi-key-performance-indicator;KPI (Key Performance Indicator);K;Management & Strategie;Messbare Steuerungsgröße, die den Erfolg eines Use Case sichtbar macht und in quantitative, qualitative und strategische Kennzahlen unterteilt wird.;Messbare Steuerungsgröße, die den Erfolg eines Use Case sichtbar macht und in quantitative, qualitative und strategische Kennzahlen unterteilt wird.;Für einen KI-gestützten Angebotsprozess wird die durchschnittliche Durchlaufzeit als quantitativer KPI festgelegt und monatlich gemessen.;"[""KPI"",""Key Performance Indicator"",""Leistungskennzahl"",""Schlüsselkennzahl"",""Steuerungsgröße""]";"[""kpi-messung"",""messbarkeit-des-erfolgs"",""roi-return-on-investment"",""baseline-ausgangswert-messung"",""durchlaufzeit""]";
kpi-messung;KPI-Messung;K;Management & Strategie;Fortlaufende Erhebung von Kennzahlen, die trotz KI-Einsatz Pflicht bleibt, um ROI nachzuweisen und Modelldrift zu erkennen.;Fortlaufende Erhebung von Kennzahlen, die trotz KI-Einsatz Pflicht bleibt, um ROI nachzuweisen und Modelldrift zu erkennen.;Ein Unternehmen misst nach Einführung einer KI-Klassifizierung monatlich die Fehlerquote und bemerkt so einen schleichenden Qualitätsverlust durch Modelldrift.;"[""Kennzahlenmessung"",""KPI-Tracking"",""KPI Measurement""]";"[""kpi-key-performance-indicator"",""modelldrift-konzeptdrift"",""roi-return-on-investment"",""baseline-ausgangswert-messung"",""audit-vs-monitoring""]";
krisenfallkommunikation;Krisenfallkommunikation;K;Change & Organisation;Vorgehen bei schwerwiegenden KI-Fehlern mit sofortigem Stopp-Signal, Transparenz und Lernkultur nach dem Dreiklang-Prinzip.;Vorgehen bei schwerwiegenden KI-Fehlern mit sofortigem Stopp-Signal, Transparenz und Lernkultur nach dem Dreiklang-Prinzip.;Nachdem ein KI-System fehlerhafte Kundendaten verschickt hat, stoppt das Unternehmen den Prozess sofort, informiert die Betroffenen offen und wertet den Vorfall in einer Lessons-Learned-Runde aus.;"[""Krisenkommunikation"",""Notfallkommunikation"",""Crisis Communication""]";"[""lessons-learned-runde"",""marktaufsichtsbehoerde"",""stakeholder-kommunikation""]";
kritis-kritische-infrastruktur;KRITIS (Kritische Infrastruktur);K;Recht & Regulatorik;Versorgungswichtige Infrastrukturen wie Strom, Wasser oder Netzsteuerung, die im KI-Kontext besonders geschützt und reguliert werden.;Versorgungswichtige Infrastrukturen wie Strom, Wasser oder Netzsteuerung, die im KI-Kontext besonders geschützt und reguliert werden.;Eine KI zur Laststeuerung im Stromnetz fällt unter KRITIS und unterliegt deshalb besonders hohen Sicherheits- und Aufsichtsanforderungen.;"[""KRITIS"",""Kritische Infrastruktur"",""Kritische Infrastrukturen"",""Critical Infrastructure""]";"[""hochrisiko-ki-system"",""netzsteuerung"",""menschliche-aufsicht"",""risikoklassen-vier-stufen""]";
kundenbindung;Kundenbindung;K;Management & Strategie;Maßnahmen, um Bestandskunden zu halten, was betriebswirtschaftlich günstiger ist als Neukundengewinnung und durch KI-Personalisierung gestärkt wird.;Maßnahmen, um Bestandskunden zu halten, was betriebswirtschaftlich günstiger ist als Neukundengewinnung und durch KI-Personalisierung gestärkt wird.;Ein Onlinehändler nutzt KI, um Bestandskunden individuelle Angebote zu schicken, und senkt so die Abwanderungsrate deutlich.;"[""Customer Retention"",""Kundenloyalität"",""Kundentreue""]";"[""personalisierte-kundenkommunikation"",""personalisierte-produktempfehlung"",""churn-rate"",""customer-lifetime-value"",""wertschoepfung-durch-ki""]";
kuenstliche-intelligenz-ki;Künstliche Intelligenz (KI);K;KI-Grundlagen;Systeme, die aus Daten lernen, Muster erkennen und Aufgaben übernehmen, die bisher menschliche Intelligenz erforderten.;Systeme, die aus Daten lernen, Muster erkennen und Aufgaben übernehmen, die bisher menschliche Intelligenz erforderten.;Ein Sprachassistent, der gesprochene Anfragen versteht und passende Antworten erzeugt, ist eine alltägliche Anwendung Künstlicher Intelligenz.;"[""KI"",""KI (Künstliche Intelligenz)"",""Artificial Intelligence"",""AI""]";"[""maschinelles-lernen"",""generative-ki"",""ki-vs-klassische-software"",""mustererkennung""]";https://ki-manager-methoden.lovable.app/glossar
large-language-model-grosses-sprachmodell;Large Language Model (Großes Sprachmodell);L;KI-Grundlagen;Neuronales Sprachmodell mit sehr vielen Parametern, das Wort für Wort die statistisch wahrscheinlichste Textfortsetzung berechnet.;"Ein Large Language Model (LLM) ist ein neuronales Netzwerk, das mithilfe riesiger Textdatensätze trainiert wird, um natürliche Sprache zu verstehen und zu generieren.

Merkmale: Millionen bis Milliarden von Parametern, breites Wissen aus Büchern und Internet, generative Fähigkeiten (menschenähnliche Texte). Beispiele: GPT-4, Claude, Gemini, Llama.

Technologische Grundlagen: Transformer-Architektur, Self-Attention-Mechanismus, Pre-Training (allgemeine Sprachmuster) + Fine-Tuning (spezifische Aufgaben), Skalierung von Parametern. LLMs generieren Text durch Vorhersage des wahrscheinlichsten nächsten Tokens.

Vorteile: Vielseitigkeit, hohe Genauigkeit, Kontextverständnis, generative Kreativität.
Herausforderungen: hoher Rechenaufwand, Halluzinationen, Bias, Datenschutzbedenken.
Anwendungen: Chatbots, Textgenerierung, Übersetzung, Zusammenfassung, Programmiertools.";Ein LLM formuliert aus einem kurzen Stichpunkt-Prompt einen vollständigen Kundenbrief, indem es Wort für Wort die passende Fortsetzung wählt.;"[""LLM"",""Large Language Model (LLM)"",""Großes Sprachmodell"",""Grosses Sprachmodell""]";"[""transformer"",""generative-ki"",""token"",""foundation-model-grundlagenmodell"",""halluzination""]";https://ki-manager-methoden.lovable.app/glossar/large-language-model-grosses-sprachmodell
latent-space-latenter-raum;Latent Space (Latenter Raum);L;Technik & Daten;Abstrakter, mehrdimensionaler Raum, in dem ein Modell Daten komprimiert repräsentiert und semantische Ähnlichkeiten abbildet.;"Der Latent Space ist ein abstrakter mathematischer Raum, in dem komplexe Daten in einfachere, kompaktere numerische Repräsentationen umgewandelt werden. Ähnliche Daten liegen im Latent Space nahe beieinander. Beispiel: Ein Katzenbild wird nicht als Millionen Pixel, sondern als kompakte Merkmalsbeschreibung (Ohren, Schnurrhaare, Fellmuster) dargestellt.

Anwendungen: Datenkompression (Autoencoder), Ähnlichkeitssuche (Empfehlungssysteme), Datenvisualisierung (PCA, t-SNE), generative Modelle (GANs, VAEs – neue Daten durch Sampling aus dem Latent Space erzeugen). Mathematisch: $z = f(x)$, wobei $x$ Originaldaten und $z$ die latente Repräsentation ist.

Bedeutung: Latent Spaces ermöglichen effiziente Verarbeitung komplexer Daten, Erkennung verborgener Muster und Generierung neuer Inhalte. Sie sind ein Kernkonzept in Autoencodern, VAEs und modernen generativen Modellen.";In einem Empfehlungssystem liegen im Latent Space ähnliche Produkte nah beieinander, sodass zu einem Wanderschuh passendes Zubehör gefunden wird.;"[""Latent Space"",""Latenter Raum"",""Merkmalsraum""]";"[""einbettung"",""neuronales-netzwerk"",""deep-learning"",""mixture-of-experts-expertengemisch""]";https://ki-manager-methoden.lovable.app/glossar
lean-management-verschwendung;Lean Management / Verschwendung;L;Methoden & Frameworks;Denkweise, nach der alles Verschwendung ist, wofür der Kunde nicht zahlen würde, etwa Wartezeiten oder Doppeleingaben.;Denkweise, nach der alles Verschwendung ist, wofür der Kunde nicht zahlen würde, etwa Wartezeiten oder Doppeleingaben.;Ein Team identifiziert die manuelle Übertragung von E-Mail-Daten in Excel als Verschwendung und automatisiert diesen Medienbruch.;"[""Lean Management"",""Lean"",""Verschwendung"",""Waste"",""Muda""]";"[""prozessanalyse"",""medienbruch"",""wertstromanalyse-value-stream-mapping"",""bottleneck-flaschenhals"",""effizienzsteigerung""]";
legacy-system;Legacy-System;L;Technik & Daten;Veraltete Software ohne moderne Schnittstellen, für die KI Brücken- oder Konvertierungsskripte generieren kann.;Veraltete Software ohne moderne Schnittstellen, für die KI Brücken- oder Konvertierungsskripte generieren kann.;Für eine 20 Jahre alte Warenwirtschaft ohne API lässt ein Team per KI ein Skript erzeugen, das Exportdateien in ein modernes Format übersetzt.;"[""Legacy System"",""Altsystem"",""Bestandssystem""]";"[""api-schnittstelle"",""interoperabilitaet"",""integrationsfaehigkeit"",""datensilos"",""medienbruch""]";
lernkurve-als-wettbewerbskapital;Lernkurve als Wettbewerbskapital;L;Management & Strategie;Strategisches Wissen über Prozesse, Daten und KI, das durch internes Arbeiten entsteht und von Wettbewerbern schwer zu kopieren ist.;Strategisches Wissen über Prozesse, Daten und KI, das durch internes Arbeiten entsteht und von Wettbewerbern schwer zu kopieren ist.;Ein Mittelständler baut über mehrere KI-Piloten internes Know-how auf und kann dadurch neue Use Cases schneller umsetzen als seine Wettbewerber.;"[""Lernkurve"",""Learning Curve"",""Wettbewerbskapital""]";"[""make-or-buy-entscheidung"",""first-mover-vorteil"",""wertschoepfung-durch-ki"",""center-of-excellence-coe""]";
lessons-learned-runde;Lessons-Learned-Runde;L;Methoden & Frameworks;Strukturierte Runde nach einem Piloten, in der alle Beteiligten offen benennen, was gut und was schlecht lief.;Strukturierte Runde nach einem Piloten, in der alle Beteiligten offen benennen, was gut und was schlecht lief.;Nach einem Chatbot-Piloten setzen sich Fachbereich und IT zusammen und halten fest, dass die Datenqualität vorab besser hätte geprüft werden müssen.;"[""Lessons Learned"",""Retrospektive"",""Nachbetrachtung"",""Debriefing""]";"[""pilotprojekt"",""pdca-zyklus"",""iterationsschleife"",""krisenfallkommunikation"",""psychologische-sicherheit""]";
lieferkettenoptimierung;Lieferkettenoptimierung;L;Management & Strategie;KI-gestützte Überwachung vieler Signale, die drohende Engpässe frühzeitig erkennt und rechtzeitiges Umdisponieren ermöglicht.;KI-gestützte Überwachung vieler Signale, die drohende Engpässe frühzeitig erkennt und rechtzeitiges Umdisponieren ermöglicht.;Eine KI meldet anhand von Wetter- und Verkehrsdaten einen drohenden Lieferverzug, sodass ein Hersteller rechtzeitig auf einen Ersatzlieferanten umstellt.;"[""Lieferketten-Optimierung"",""Supply-Chain-Optimierung"",""Supply Chain Optimization""]";"[""predictive-analytics"",""nachfrageprognose"",""wertschoepfung-durch-ki"",""anomalieerkennung"",""routenoptimierung""]";
limited-memory;Limited Memory;L;KI-Grundlagen;"KI-Typ, der begrenzt auf jüngste Daten und Erfahrungen zurückgreift, um Entscheidungen zu treffen; typisch für heutige lernende Systeme.";"Limited Memory bezeichnet eine KI-Architektur, die Daten oder Zustände aus der Vergangenheit für eine begrenzte Dauer speichert und für aktuelle Entscheidungen nutzt. Im Gegensatz zu zustandslosen Systemen (Stateless) berücksichtigt Limited Memory vergangene Ereignisse.

Technologien: Rekurrente Neuronale Netzwerke (RNNs), Long Short-Term Memory (LSTMs – relevante Infos länger speichern, irrelevante vergessen), Gated Recurrent Units (GRUs), Sliding Window-Techniken. Anwendungsbeispiel: autonomes Fahrzeug nutzt Sensordaten der letzten Sekunden für Brems-/Ausweichentscheidung.

Einordnung im KI-Gedächtnis-Spektrum: Stateless (keine Erinnerung) → Limited Memory (begrenzte Erinnerung) → Langzeitgedächtnis (dauerhafte Speicherung). Limited Memory ist die häufigste Form in modernen KI-Systemen.";Ein selbstfahrendes Fahrzeug wertet die Beobachtungen der letzten Sekunden aus, um Abstand und Geschwindigkeit anzupassen, behält sie aber nicht dauerhaft.;"[""Limited-Memory-KI"",""Begrenztes Gedächtnis""]";"[""maschinelles-lernen"",""reinforcement-learning"",""schwache-ki"",""gedaechtnis-und-kontext-agent""]";https://ki-manager-methoden.lovable.app/glossar
lizenzmodell-skalierbarkeit-kriterium;Lizenzmodell / Skalierbarkeit (Kriterium);L;Management & Strategie;Viertes Auswahlkriterium, das prüft, ob eine heute günstige Lösung bei wachsendem Einsatz zur Kostenfalle wird.;Viertes Auswahlkriterium, das prüft, ob eine heute günstige Lösung bei wachsendem Einsatz zur Kostenfalle wird.;Ein Team wählt bewusst kein reines Pay-per-Use-Modell, weil die Kosten bei geplantem starkem Wachstum unkalkulierbar würden.;"[""Lizenzmodell"",""Skalierbarkeit als Kriterium"",""Lizenz- und Skalierungskriterium""]";"[""kosten-nutzen-verhaeltnis"",""skalierbarkeit"",""pay-per-use"",""vendor-lock-in"",""einmallizenz""]";
lokalisierung;Lokalisierung;L;Tools & Anwendungen;KI-Übersetzung, die Texte kulturell und sprachlich an die Zielgruppe anpasst statt nur wortgetreu zu übertragen.;KI-Übersetzung, die Texte kulturell und sprachlich an die Zielgruppe anpasst statt nur wortgetreu zu übertragen.;Eine KI übersetzt eine Marketingkampagne nicht nur ins Französische, sondern ersetzt auch Beispiele und Redewendungen durch für Frankreich passende.;"[""Localization"",""Localisation"",""L10n"",""kulturelle Anpassung""]";"[""deepl"",""natural-language-processing"",""textgenerierung"",""persona""]";
loss-function-verlustfunktion;Loss Function (Verlustfunktion);L;Technik & Daten;Mathematische Funktion, die den Fehler zwischen Vorhersage und Zielwert misst und so das Training eines Modells steuert.;"Eine Loss Function ist eine mathematische Funktion, die den Fehler eines KI-Modells misst – wie stark die Vorhersagen des Modells von den tatsächlichen Werten abweichen. Das Ziel des Trainings ist die Minimierung dieses Fehlers durch Anpassung der Modellparameter.

Arten: Mean Squared Error (MSE) für Regression, Cross-Entropy Loss für Klassifikation, Hinge Loss für SVMs, Huber Loss (robust gegen Ausreißer), benutzerdefinierte Loss Functions. Die Wahl der richtigen Loss Function ist entscheidend für die Modellleistung.

Zusammenspiel: Loss Function berechnet Fehler → Gradient Descent berechnet die Richtung zur Fehlerminimierung → Backpropagation aktualisiert die Gewichte. Die Loss Function ist das zentrale Feedback-Signal im Trainingsprozess neuronaler Netzwerke.";Beim Training eines Prognosemodells zeigt eine sinkende Verlustfunktion an, dass die Vorhersagen den echten Werten immer näher kommen.;"[""Loss Function"",""Verlustfunktion"",""Kostenfunktion"",""Fehlerfunktion""]";"[""gradient-descent-gradientenabstieg"",""back-propagation-rueckpropagierung"",""objective-function-zielfunktion"",""trainingsdaten""]";https://ki-manager-methoden.lovable.app/glossar
lovable;Lovable;L;Tools & Anwendungen;KI-Tool zum Bauen von Apps, Websites und Oberflächen per Vibe Coding, mit Security-Check und GitHub-Anbindung zur Codeablage.;KI-Tool zum Bauen von Apps, Websites und Oberflächen per Vibe Coding, mit Security-Check und GitHub-Anbindung zur Codeablage.;Ein Team beschreibt in Lovable eine einfache Bewerber-Übersichts-App und exportiert den erzeugten Code anschließend nach GitHub.;"[""Lovable.dev"",""Lovable AI""]";"[""vibe-coding"",""wireframing"",""webflow"",""github-copilot"",""security-review""]";
machbarkeitsstudie;Machbarkeitsstudie;M;Management & Strategie;Vorprüfung, ob ein geplanter Use Case technisch, wirtschaftlich und organisatorisch realisierbar ist.;Vorprüfung, ob ein geplanter Use Case technisch, wirtschaftlich und organisatorisch realisierbar ist.;Vor dem Aufbau einer KI-Dokumentenprüfung klärt eine Machbarkeitsstudie, ob genügend qualitativ ausreichende Trainingsdaten vorhanden sind.;"[""Feasibility Study"",""Feasibility-Studie"",""Durchführbarkeitsstudie""]";"[""proof-of-concept"",""pilotprojekt"",""use-case-identifikation"",""datenverfuegbarkeit""]";
machine-learning;Machine Learning;M;KI-Grundlagen;Teilgebiet der KI, bei dem ein System iterativ aus Daten lernt und Muster erkennt, statt fest programmiert zu werden.;Teilgebiet der KI, bei dem ein System iterativ aus Daten lernt und Muster erkennt, statt fest programmiert zu werden.;Ein Spamfilter lernt aus als Spam markierten E-Mails, welche Merkmale unerwünschte Nachrichten kennzeichnen, und wird dadurch besser.;"[""ML"",""Maschinelles Lernen"",""Machine-Learning""]";"[""maschinelles-lernen"",""deep-learning"",""ueberwachtes-lernen"",""unueberwachtes-lernen"",""mustererkennung""]";
make-or-buy-entscheidung;Make-or-Buy-Entscheidung;M;Management & Strategie;Strategische Entscheidung, ob ein KI-Tool gekauft, selbst entwickelt oder als Hybridlösung umgesetzt wird.;Strategische Entscheidung, ob ein KI-Tool gekauft, selbst entwickelt oder als Hybridlösung umgesetzt wird.;Ein Unternehmen kauft einen Standard-Chatbot ein, entwickelt aber die Anbindung an die eigenen Systeme selbst und wählt so eine Hybridlösung.;"[""Make or Buy"",""Make-or-Buy"",""Eigenfertigung oder Fremdbezug""]";"[""hybridloesung"",""regulatorische-verantwortung-nicht-auslagerbar"",""vendor-lock-in"",""lernkurve-als-wettbewerbskapital"",""toolauswahl-als-managementaufgabe""]";
claude-artefakt;Claude-Artefakt;C;Tools & Anwendungen;Von Claude erzeugte, in sich geschlossene HTML-Datei, die lokal oder auf einer Website nutzbar ist.;Von Claude erzeugte, in sich geschlossene HTML-Datei, die lokal oder auf einer Website nutzbar ist.;Der Kurs nutzt einen als Claude-Artefakt erzeugten Prüfungstrainer, der als einzelne HTML-Datei im Browser läuft.;"[""Claude Artifact"",""Artefakt (Claude)"",""Claude-Artifact"",""Artifact""]";"[""claude"",""artefakt"",""svg-grafik-claude"",""vibe-coding""]";
data-science;Data Science;D;Technik & Daten;Interdisziplinäres Feld, das Statistik, Programmierung und Fachwissen verbindet, um aus Daten Erkenntnisse zu gewinnen und KI-Modelle zu trainieren.;"Data Science ist die Wissenschaft der Extraktion von Wissen aus strukturierten und unstrukturierten Daten. Sie kombiniert Mathematik, Statistik, Informatik und Fachwissen, um datenbasierte Entscheidungen zu ermöglichen. Ziele: Muster und Trends erkennen, Vorhersagen treffen, Entscheidungsprozesse verbessern.

Methoden: maschinelles Lernen, Statistik, Datenvisualisierung (Matplotlib, Tableau), Datenbanktechnologien (SQL/NoSQL), Big-Data-Technologien (Hadoop, Spark). Wichtige Programmiersprachen: Python, R, Julia.

Anwendungsbereiche: Gesundheitswesen, Finanzwesen, Marketing, Transport, Umwelt.
Data Science unterscheidet sich von Data Mining durch seinen breiteren Fokus auf den gesamten Datenanalyseprozess von der Datenerfassung bis zur Entscheidungsunterstützung.";Ein Data-Science-Team entwickelt das Prognosemodell, während der KI-Manager Zielsetzung, Datenfreigabe und Rollout verantwortet.;"[""Data-Science"",""Datenwissenschaft"",""data science""]";"[""data-scientist"",""maschinelles-lernen"",""data-mining""]";https://ki-manager-methoden.lovable.app/glossar
data-scientist;Data Scientist;D;Technik & Daten;Technische Berufsgruppe, die KI-Modelle entwickelt und trainiert, was nicht Aufgabe des KI-Managers ist.;Technische Berufsgruppe, die KI-Modelle entwickelt und trainiert, was nicht Aufgabe des KI-Managers ist.;Der KI-Manager beschreibt den fachlichen Bedarf, der Data Scientist wählt das passende Modell und trainiert es mit den Unternehmensdaten.;"[""Data-Scientist"",""Datenwissenschaftler"",""Datenwissenschaftlerin"",""data scientist""]";"[""data-science"",""ki-manager-in-rollenbild"",""maschinelles-lernen"",""data-steward""]";
angemessenstes-vs-effizientestes-modell;Angemessenstes vs. effizientestes Modell;A;Technik & Daten;Prüfungskernsatz, nach dem das Kontrollmodell nach Angemessenheit und nicht nach Effizienz gewählt wird.;Prüfungskernsatz, nach dem das Kontrollmodell nach Angemessenheit und nicht nach Effizienz gewählt wird.;Bei einem Hochrisiko-System wird die menschliche Kontrolle beibehalten, obwohl vollständige Automatisierung effizienter wäre.;"[""angemessenstes vs. effizientestes Modell"",""Angemessenheit vor Effizienz"",""angemessen statt effizient""]";"[""pruefintensitaet-nach-schadenspotenzial"",""human-in-the-loop-hitl"",""risikobasierte-einstufung""]";
schulungspflicht-eu-ai-act;Schulungspflicht (EU AI Act);S;Recht & Regulatorik;Pflicht des EU AI Act, die Mitarbeitenden zu schulen, die KI einsetzen, nicht pauschal die gesamte Belegschaft.;Pflicht des EU AI Act, die Mitarbeitenden zu schulen, die KI einsetzen, nicht pauschal die gesamte Belegschaft.;Ein Unternehmen schult gezielt das Serviceteam, das einen KI-Assistenten nutzt, nicht jedoch die gesamte Produktion, die keine KI einsetzt.;"[""Schulungspflicht"",""KI-Kompetenz-Pflicht"",""AI Literacy Pflicht"",""Schulungspflicht EU AI Act""]";"[""eu-ai-act-artikel-4"",""ki-governance""]";
ki-projektleiter-in;KI-Projektleiter(in);K;Change & Organisation;Operative Steuerungsrolle, die ein KI-Projekt plant, koordiniert und eskaliert, aber nicht selbst Systeme entwickelt.;Operative Steuerungsrolle, die ein KI-Projekt plant, koordiniert und eskaliert, aber nicht selbst Systeme entwickelt.;Die KI-Projektleiterin koordiniert Fachbereich, IT und Dienstleister beim Rollout eines neuen Chatbots und hält den Zeitplan nach.;"[""KI-Projektleiter"",""KI-Projektleiterin"",""AI Project Lead""]";"[""ki-manager-in-rollenbild"",""roadmap"",""pilotprojekt"",""stakeholder-einbindung""]";
fine-tuning;Fine-Tuning;F;Technik & Daten;Nachtraining eines vortrainierten Modells mit spezifischen Daten, um es an eine bestimmte Aufgabe oder Domäne anzupassen.;"Fine-Tuning ist der Prozess, bei dem ein vortrainiertes Modell auf spezifische Aufgaben oder Datensätze abgestimmt wird. Es nutzt die allgemeinen Fähigkeiten des vortrainierten Modells und verfeinert sie für einen bestimmten Anwendungsfall, z. B. ein GPT-4-Modell für juristische Textanalyse.

Schritte: Auswahl des vortrainierten Modells → Datensammlung und -vorbereitung → Anpassung des Modells mit neuen Daten → Validierung → Integration und Überwachung. Fine-Tuning benötigt deutlich weniger Daten und Rechenressourcen als ein Training von Grund auf.

Anwendungsbereiche: Gesundheitswesen (medizinische Berichte), E-Commerce (Produktempfehlungen), Recht und Finanzen (Vertragsanalyse), Kundenservice (domänenspezifische Chatbots).";Ein Dienstleister trainiert ein Sprachmodell mit firmeneigenen Support-Fällen nach, damit es den fachspezifischen Jargon beherrscht.;"[""Feintuning"",""Finetuning"",""Fine Tuning"",""Nachtraining"",""Feinabstimmung""]";"[""pre-training-vortraining"",""retrieval-augmented-generation-rag"",""transfer-learning"",""foundation-model-grundlagenmodell""]";https://ki-manager-methoden.lovable.app/glossar
agenten-zyklus-wahrnehmung-planung-handeln-bewertung;Agenten-Zyklus (Wahrnehmung-Planung-Handeln-Bewertung);A;Methoden & Frameworks;Vier-Schritte-Schleife, die ein KI-Agent je Teilschritt durchläuft: Kontext wahrnehmen, planen, handeln und Ergebnis bewerten.;Vier-Schritte-Schleife, die ein KI-Agent je Teilschritt durchläuft: Kontext wahrnehmen, planen, handeln und Ergebnis bewerten.;Ein Recherche-Agent liest eine Aufgabe, plant Suchanfragen, führt sie aus und prüft, ob die Ergebnisse ausreichen, bevor er den nächsten Schritt startet.;"[""Agenten-Zyklus"",""Agentenzyklus"",""Wahrnehmung Planung Handeln Bewertung"",""Perceive Plan Act Evaluate"",""Agenten-Schleife""]";"[""ki-agent"",""agentisches-verhalten"",""autonomie-agent"",""anpassungsfaehigkeit-agent""]";
matrixorganisation;Matrixorganisation;M;Change & Organisation;Organisationsform, in der Mitarbeitende zugleich einem fachlichen und einem disziplinarischen Vorgesetzten sowie einem KI-Verantwortlichen zugeordnet sein können.;Organisationsform, in der Mitarbeitende zugleich einem fachlichen und einem disziplinarischen Vorgesetzten sowie einem KI-Verantwortlichen zugeordnet sein können.;Ein Data Scientist berichtet fachlich an den KI-Projektleiter, disziplinarisch aber weiterhin an die Leitung seiner Stammabteilung.;"[""Matrix-Organisation"",""Matrixstruktur"",""Matrix Organization""]";"[""rollen-und-verantwortlichkeitsstrukturen"",""funktionsuebergreifende-teams-cross-functional-teams"",""center-of-excellence-coe""]";
agi-kuenstliche-allgemeine-intelligenz;AGI (Künstliche Allgemeine Intelligenz);A;KI-Grundlagen;Hypothetische KI, die auf menschlichem Niveau beliebige geistige Aufgaben über viele Bereiche hinweg verstehen, lernen und lösen kann.;"AGI (Artificial General Intelligence) beschreibt eine Form von Künstlicher Intelligenz, die menschliche Intelligenz in ihrer Vielseitigkeit nachahmt und sogar übertrifft. Im Gegensatz zu heutiger spezialisierter KI (ANI) kann AGI universell eingesetzt werden, unabhängig vom Aufgabenbereich.

Eigenschaften von AGI: universelle Problemlösung (kann in nahezu jedem Bereich eigenständig denken), Lernfähigkeit (flexibles Anwenden von Wissen auf neue Herausforderungen), mögliches Bewusstsein und Kreativität. AGI ist bis heute hypothetisch und noch nicht realisiert.

Herausforderungen auf dem Weg zu AGI: die Entwicklung multimodaler Systeme, neuroinspirierter Architekturen und selbstlernender Algorithmen. Gleichzeitig birgt AGI erhebliche ethische Risiken hinsichtlich Kontrolle, Sicherheit und gesellschaftlicher Auswirkungen.";In einer Managementrunde wird klargestellt, dass der eingesetzte Chatbot schwache KI ist und keine allgemeine Intelligenz besitzt.;"[""AGI (Artificial General Intelligence / Starke KI)"",""AGI"",""Artificial General Intelligence"",""Starke KI"",""Künstliche Allgemeine Intelligenz"",""Allgemeine KI"",""General AI""]";"[""asi-kuenstliche-superintelligenz"",""schwache-ki"",""kuenstliche-intelligenz-ki"",""singularitaet""]";https://ki-manager-methoden.lovable.app/glossar
anpassungsfaehigkeit-agent;Anpassungsfähigkeit (Agent);A;KI-Grundlagen;Merkmal eines KI-Agenten, seinen Plan bei nicht passenden Zwischenergebnissen selbstständig zu iterieren.;Merkmal eines KI-Agenten, seinen Plan bei nicht passenden Zwischenergebnissen selbstständig zu iterieren.;Ein Rechercheagent stellt fest, dass eine Quelle nichts liefert, und formuliert selbstständig eine neue Suchanfrage.;"[""Anpassungsfähigkeit"",""Adaptivität"",""Adaptability"",""Iterationsfähigkeit""]";"[""ki-agent"",""autonomie-agent""]";
